Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
34,Troll Football,TrollFootball,Barca fans watching Real Madrid concede 2 goals in 9 minutes but then realise Dembele scored one and made one.,2025-07-09T19:20:14.000Z,2025-07-09,175,968,15113,586249,https://x.com/TrollFootball/status/1943027434959655281,true,true
35,Fabrizio Fauna,FabrizioFauna,los defensas del Real Madrid hoy:,2025-07-09T19:35:19.000Z,2025-07-09,83,2035,30791,960020,https://x.com/FabrizioFauna/status/1943031228254286137,true,true
36,B/R Football,brfootball,24'—PSG 3-0 Real Madrid,2025-07-09T19:35:34.000Z,2025-07-09,355,3011,28431,900644,https://x.com/brfootball/status/1943031293895143592,true,true
37,Elvis Tunde,Tunnykvng,Real Madrid please fight back,2025-07-09T19:20:27.000Z,2025-07-09,151,364,4787,120449,https://x.com/Tunnykvng/status/1943027487254139279,true,true
38,𝐂𝐀 𝐕𝐀?,psg_chief,Ousmane Dembele took lessons from the GOAT on how to train against Real Madrid,2025-07-09T19:53:28.000Z,2025-07-09,22,270,5524,49451,https://x.com/psg_chief/status/1943035795570369005,true,true
39,B/R Football,brfootball,"16 years ago, Real Madrid signed Karim Benzema. The same summer they signed Cristiano Ronaldo. And Kaká. And Xabi Alonso.",2025-07-09T12:21:02.000Z,2025-07-09,93,1474,13345,450818,https://x.com/brfootball/status/1942921936771723545,true,true
40,Martinalgui,MartinoliCuri,Gonçalo Ramos metiendo el cuarto gol al Real Madrid:,2025-07-09T20:59:41.000Z,2025-07-09,99,2207,30113,1307516,https://x.com/MartinoliCuri/status/1943052462195085433,true,true
41,BeksFCB,Joshua__Ubeku,"Real Madrid signed Mbappe and they lost La Liga, the Champions League, Copa Del Rey, the Super Cup, and the Club World Cup.",2025-07-09T21:32:54.000Z,2025-07-09,40,156,1443,21941,https://x.com/Joshua__Ubeku/status/1943060820893798495,true,true
42,Desconocido,Priceless_MCI,Man city need to save Rodrygo from Real Madrid,2025-07-09T17:58:23.000Z,2025-07-09,77,85,2850,69911,https://x.com/Priceless_MCI/status/1943006833763062220,true,true
43,The Screenshot Lad,thescreenlad,I think Real Madrid has the same problem that PSG had for many years. Too many ‘stars’ don’t work. You need to have a team.,2025-07-09T20:31:37.000Z,2025-07-09,682,6385,85859,3478385,https://x.com/thescreenlad/status/1943045399004221689,true,false
44,kwãhu Nii Bå,Agyeiwaa__1,"Enemies of Real Madrid, drop your handles let’s follow each other now",2025-07-09T21:08:09.000Z,2025-07-09,270,136,1602,31107,https://x.com/Agyeiwaa__1/status/1943054589755904506,true,true
45,Torren,Torren__,Vamos a reírnos del Real Madrid que ha hecho el ridículo en su despedida del Mundialito,2025-07-09T20:58:45.000Z,2025-07-09,494,3225,26646,449338,https://x.com/Torren__/status/1943052227322802179,true,true
46,ESPN FC,ESPNFC,Lucas Vázquez and Luka Modric can't believe what they're watching in what looks to be their final match with Real Madrid,2025-07-09T19:48:04.000Z,2025-07-09,170,814,12840,241084,https://x.com/ESPNFC/status/1943034436502614099,true,true
47,Joaconel.,Joaconel,Así festejaba Luis Enrique el tercer gol del PSG JAJAJA odia al Real Madrid con toda su alma,2025-07-09T19:53:51.000Z,2025-07-09,90,2363,45041,423405,https://x.com/Joaconel/status/1943035894623277409,true,true
48,Rex,RexCity01,Both trashing Real Madrid 4-0. Football heritage,2025-07-09T21:18:34.000Z,2025-07-09,11,432,9501,90065,https://x.com/RexCity01/status/1943057214064988194,true,true
49,DesmundOris,Desmund_Oris,Enemies of Real Madrid and friends of Lionel Messi let’s connect Comment and follow anyone that likes your comment. Let’s go,2025-07-09T21:01:09.000Z,2025-07-09,215,67,971,24609,https://x.com/Desmund_Oris/status/1943052827955466256,true,true
50,DAZN Football,DAZNFootball,PSG - Real Madrid A masterclass from the champions of Europe. Relive all the action in just 60 seconds Watch the @FIFACWC | June 14 - July 13 | Every Game | Free | http://DAZN.com | #FIFACWC #TakeItToTheWorld #PSGRMA,2025-07-09T21:49:40.000Z,2025-07-09,35,195,716,48612,https://x.com/DAZNFootball/status/1943065039474143339,true,true
51,Beno SarkCess,_BenopaOnyx1,Like this if you love what PSG is doing to Real Madrid today,2025-07-09T20:01:12.000Z,2025-07-09,15,101,1388,29730,https://x.com/_BenopaOnyx1/status/1943037741274636358,true,true
