Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
18,ESPN FC,ESPNFC,Kylian Mbappe left PSG and the Parisian side went on to win the Champions League and have now just eliminated Mbappe's Real Madrid from the Club World Cup Life comes at you fast.,2025-07-09T21:17:01.000Z,2025-07-09,520,2278,26514,709994,https://x.com/ESPNFC/status/1943056823294009407,true,true
19,¹⁰,SxrgioSZN,PSG winning it all without Mbappe then dunking on him to make sure he goes trophyless,2025-07-09T19:35:15.000Z,2025-07-09,22,1193,11355,364535,https://x.com/SxrgioSZN/status/1943031210470437037,true,true
20,OneFootball,OneFootball,Kylian Mbappé is the latest player to suffer a rude return to his former side,2025-07-09T21:58:50.000Z,2025-07-09,57,515,9055,53574,https://x.com/OneFootball/status/1943067348455637432,true,true
21,abel,FcbAvr,Luis Enrique siempre tuvo razón. El PSG sin Mbappe es una máquina jugando al fútbol.,2025-07-09T20:00:07.000Z,2025-07-09,223,7292,64193,2798762,https://x.com/FcbAvr/status/1943037471534546969,true,true
22,Central do Braga,CentralDoBrega,deve ser foda pro Mbappé perceber que só foi ele sair do PSG que o time virou o melhor da história,2025-07-09T19:31:19.000Z,2025-07-09,374,2316,52353,1082277,https://x.com/CentralDoBrega/status/1943030224431567102,true,true
23,17,DxBruyneSZN,Man City Barcelona PSG embarrassing Real Madrid 4-0,2025-07-09T21:03:01.000Z,2025-07-09,64,441,3690,176309,https://x.com/DxBruyneSZN/status/1943053298547986698,true,true
24,Barron Trump ,BarronTnews,"WOULD YOU SUPPORT RELEASING THE EPSTEIN FILES, EVEN IF IT COULD SEND REPUBLICANS TO PRISON? Real answers only. No fluff. Make it bold. Make it clear. This is the moment. Pick a side. YES or NO?",2025-07-09T21:15:56.000Z,2025-07-09,777,257,1406,32325,https://x.com/BarronTnews/status/1943056551427870874,true,true
25,Barça Worldwide,BarcaWorldwide,Messi (38) had more shots on target vs PSG alone (3) than all of Real Madrid combined (2),2025-07-09T22:14:40.000Z,2025-07-09,51,1847,21149,311607,https://x.com/BarcaWorldwide/status/1943071330188038181,true,true
26,Wealth,wealth_united_,I will deactivate my account and never come back if Real Madrid lose to PSG today.,2025-07-09T19:02:49.000Z,2025-07-09,3792,1306,9769,545594,https://x.com/wealth_united_/status/1943023050049351872,true,true
27,SpiderCARP ,SpiderCarp23,Mbappé viendo que el PSG gana la Champions y se convierte en el mejor equipo del mundo justo el año que se fue al Real Madrid:,2025-07-09T19:21:06.000Z,2025-07-09,288,4054,61372,1258583,https://x.com/SpiderCarp23/status/1943027651587002472,false,true
28,Troll Football,TrollFootball,PSG is resting its players after just 59 minutes. Real Madrid:,2025-07-09T20:35:18.000Z,2025-07-09,128,2042,23117,785630,https://x.com/TrollFootball/status/1943046324993298545,true,true
29,B/R Football,brfootball,"Since Kylian Mbappé left PSG a year ago, they have... Won the one trophy he couldn't while he was there: the Champions League Knocked his new club, Real Madrid, out of the Club World Cup",2025-07-09T21:13:19.000Z,2025-07-09,117,1291,9664,325885,https://x.com/brfootball/status/1943055891223232783,true,true
30,Real Madrid C.F.,realmadrid,@PSG_espanol 4-0 @RealMadrid 6' Fabián Ruiz 9' Dembélé 24' Fabián Ruiz 88' G. Ramos,2025-07-09T21:02:55.000Z,2025-07-09,3490,4065,42154,2733488,https://x.com/realmadrid/status/1943053272564011012,true,true
31,Donald J. Trump Daily ,TrumpRealDaily,BREAKING: ICE has refused to let Democratic Rep. Judy Chu enter the ICE center in California. Do you support this? YES or NO?,2025-07-09T18:20:33.000Z,2025-07-09,2996,1519,10986,96286,https://x.com/TrumpRealDaily/status/1943012415387398315,true,true
32,The Screenshot Lad,thescreenlad,I think Real Madrid has the same problem that PSG had for many years. Too many ‘stars’ don’t work. You need to have a team.,2025-07-09T20:31:37.000Z,2025-07-09,677,6339,85207,3440554,https://x.com/thescreenlad/status/1943045399004221689,true,false
33,W ,Wlapperrrrr,Dembele is running like a dog he's giving everything for his team meanwhile we have Vini and Mbappe They will never reach Dembele's level.,2025-07-09T20:08:33.000Z,2025-07-09,22,94,817,332809,https://x.com/Wlapperrrrr/status/1943039593923727609,false,false
34,Ligue 1 English,Ligue1_ENG,PSG. Real Madrid. A history written by icons.,2025-07-09T11:01:28.000Z,2025-07-09,24,517,7759,153762,https://x.com/Ligue1_ENG/status/1942901913076498535,true,true
35,Abja,AbjaFCB,"Messi wasn't PSG's problem, Mbappe was",2025-07-09T19:48:32.000Z,2025-07-09,164,1801,21415,394055,https://x.com/AbjaFCB/status/1943034556640100582,true,false
36,RMFCTeam,RMFC_team,"NOBODY can convince me that mbappe has made our team team better since he has arrived, stat padding against small teams and ghosting against the big teams is shameful.",2025-07-09T20:08:10.000Z,2025-07-09,303,524,3881,229933,https://x.com/RMFC_team/status/1943039496477380658,false,true
